consonant,voice,place,manner,prosody,condur,vowdur,subject,token
f,0,0,1,1,229,236,6,9
v,1,0,1,1,112,322,7,9
v,1,0,1,1,136,275,5,10
z,1,1,1,1,232,257,11,7
f,0,0,1,1,255,326,3,1
s,0,1,1,1,234,180,9,7
v,1,0,1,1,237,298,3,6
v,1,0,1,1,130,361,20,5
t,0,1,0,1,196,217,14,7
d,1,1,0,1,167,274,12,5
t,0,1,0,1,263,211,18,3
d,1,1,0,1,128,250,8,6
b,1,0,0,1,152,202,15,1
z,1,1,1,1,177,290,18,1
d,1,1,0,1,140,308,12,9
p,0,0,0,1,111,200,9,8
z,1,1,1,1,206,282,16,7
v,1,0,1,1,182,258,18,10
f,0,0,1,1,61,205,11,4
s,0,1,1,1,265,208,18,6
f,0,0,1,1,232,217,20,5
s,0,1,1,1,253,222,19,1
b,1,0,0,1,137,310,14,1
p,0,0,0,1,118,175,11,9
t,0,1,0,1,260,223,10,10
f,0,0,1,1,274,178,19,2
v,1,0,1,1,206,268,8,2
s,0,1,1,1,216,259,5,6
b,1,0,0,1,175,285,16,9
f,0,0,1,1,204,206,9,7
t,0,1,0,1,156,229,20,2
t,0,1,0,1,201,200,4,10
s,0,1,1,1,146,224,5,1
s,0,1,1,1,237,307,10,5
b,1,0,0,1,173,228,11,10
v,1,0,1,1,214,359,3,8
d,1,1,0,1,156,287,5,9
f,0,0,1,1,245,287,3,4
b,1,0,0,1,189,250,12,9
t,0,1,0,1,174,165,18,6
v,1,0,1,1,122,372,7,8
t,0,1,0,1,193,178,18,4
z,1,1,1,1,204,261,19,6
t,0,1,0,1,256,174,10,6
z,1,1,1,1,210,298,6,3
s,0,1,1,1,203,194,17,10
v,1,0,1,1,130,303,10,5
v,1,0,1,1,176,247,17,2
d,1,1,0,1,73,326,7,4
b,1,0,0,1,136,210,17,1
b,1,0,0,1,155,259,5,9
v,1,0,1,1,131,270,4,8
b,1,0,0,1,108,254,16,3
s,0,1,1,1,259,218,6,9
z,1,1,1,1,186,265,13,6
f,0,0,1,1,210,242,16,6
v,1,0,1,1,81,368,15,4
z,1,1,1,1,196,281,9,9
f,0,0,1,1,185,217,11,8
t,0,1,0,1,136,163,19,8
z,1,1,1,1,181,353,7,9
s,0,1,1,1,177,194,9,1
z,1,1,1,1,203,324,10,2
p,0,0,0,1,132,215,7,8
t,0,1,0,1,154,160,19,1
d,1,1,0,1,86,242,9,3
t,0,1,0,1,203,196,6,8
v,1,0,1,1,142,323,6,10
p,0,0,0,1,305,193,10,10
t,0,1,0,1,164,198,14,8
z,1,1,1,1,246,235,15,10
s,0,1,1,1,219,310,4,10
z,1,1,1,1,156,337,10,8
t,0,1,0,1,177,199,20,4
f,0,0,1,1,239,255,14,1
t,0,1,0,1,200,138,17,8
t,0,1,0,1,260,184,10,4
f,0,0,1,1,219,233,14,9
z,1,1,1,1,198,284,1,5
s,0,1,1,1,268,254,13,1
d,1,1,0,1,111,234,13,4
d,1,1,0,1,220,264,20,9
z,1,1,1,1,182,374,14,5
b,1,0,0,1,247,296,10,9
p,0,0,0,1,219,175,8,5
v,1,0,1,1,166,213,18,4
v,1,0,1,1,97,278,9,1
s,0,1,1,1,179,184,9,6
z,1,1,1,1,209,306,14,6
f,0,0,1,1,219,224,12,9
v,1,0,1,1,163,329,10,2
t,0,1,0,1,206,218,20,1
z,1,1,1,1,307,289,3,7
p,0,0,0,1,128,150,11,7
s,0,1,1,1,244,247,8,8
f,0,0,1,1,316,200,2,2
s,0,1,1,1,247,343,3,9
t,0,1,0,1,216,182,6,10
v,1,0,1,1,173,282,16,1
v,1,0,1,1,154,288,8,10
s,0,1,1,1,224,217,6,7
t,0,1,0,1,195,212,4,7
v,1,0,1,1,201,246,3,1
t,0,1,0,1,136,204,9,6
d,1,1,0,1,92,335,3,6
p,0,0,0,1,169,213,16,2
f,0,0,1,1,216,202,19,3
s,0,1,1,1,179,255,17,9
b,1,0,0,1,145,278,14,5
p,0,0,0,1,109,137,7,7
s,0,1,1,1,244,220,18,10
z,1,1,1,1,170,265,5,6
v,1,0,1,1,124,235,19,9
v,1,0,1,1,224,278,16,7
f,0,0,1,1,239,195,18,10
s,0,1,1,1,200,267,5,10
v,1,0,1,1,177,269,19,6
d,1,1,0,1,53,259,4,9
p,0,0,0,1,170,153,18,6
b,1,0,0,1,219,180,15,5
v,1,0,1,1,121,332,14,1
s,0,1,1,1,255,312,14,8
d,1,1,0,1,145,263,6,3
v,1,0,1,1,132,252,12,1
p,0,0,0,1,190,195,8,7
f,0,0,1,1,210,276,8,10
p,0,0,0,1,159,181,19,4
f,0,0,1,1,142,230,16,2
d,1,1,0,1,121,217,1,4
d,1,1,0,1,136,280,10,5
d,1,1,0,1,134,341,3,4
v,1,0,1,1,111,281,15,6
z,1,1,1,1,164,325,12,2
z,1,1,1,1,215,311,4,7
t,0,1,0,1,131,206,11,6
z,1,1,1,1,224,246,18,8
s,0,1,1,1,213,223,13,3
v,1,0,1,1,154,312,4,10
d,1,1,0,1,157,289,20,1
f,0,0,1,1,238,204,17,10
v,1,0,1,1,57,341,7,4
p,0,0,0,1,183,187,16,9
z,1,1,1,1,248,289,2,4
s,0,1,1,1,193,279,16,7
f,0,0,1,1,300,205,11,2
z,1,1,1,1,610,385,3,8
b,1,0,0,1,136,216,2,9
f,0,0,1,1,214,244,20,7
z,1,1,1,1,153,260,11,3
d,1,1,0,1,131,297,14,9
b,1,0,0,1,86,194,11,6
d,1,1,0,1,176,196,17,3
t,0,1,0,1,165,209,13,10
b,1,0,0,1,99,202,1,10
t,0,1,0,1,150,200,11,4
t,0,1,0,1,197,151,8,2
z,1,1,1,1,171,369,20,3
t,0,1,0,1,216,167,6,1
v,1,0,1,1,123,267,4,6
z,1,1,1,1,192,338,8,7
p,0,0,0,1,149,178,16,6
p,0,0,0,1,176,181,11,6
p,0,0,0,1,184,170,18,10
p,0,0,0,1,213,134,15,4
s,0,1,1,1,194,312,7,8
f,0,0,1,1,243,260,8,5
b,1,0,0,1,187,269,20,9
v,1,0,1,1,137,294,1,7
t,0,1,0,1,225,170,13,7
f,0,0,1,1,236,206,5,3
b,1,0,0,1,126,254,12,3
b,1,0,0,1,83,251,4,1
d,1,1,0,1,146,273,3,7
z,1,1,1,1,137,216,17,4
p,0,0,0,1,146,192,14,7
f,0,0,1,1,195,218,6,8
d,1,1,0,1,132,321,14,6
t,0,1,0,1,135,195,19,5
v,1,0,1,1,123,365,12,5
d,1,1,0,1,152,218,15,1
t,0,1,0,1,210,220,6,6
f,0,0,1,1,184,255,4,5
p,0,0,0,1,215,170,2,9
p,0,0,0,1,106,216,9,4
v,1,0,1,1,148,273,6,9
t,0,1,0,1,181,186,18,8
s,0,1,1,1,285,258,18,2
v,1,0,1,1,106,394,7,10
f,0,0,1,1,161,274,7,4
b,1,0,0,1,79,213,11,3
f,0,0,1,1,193,195,13,7
f,0,0,1,1,249,286,10,6
b,1,0,0,1,132,295,20,2
b,1,0,0,1,103,270,16,4
f,0,0,1,1,186,236,4,8
v,1,0,1,1,197,208,13,5
b,1,0,0,1,161,283,20,8
b,1,0,0,1,108,293,16,8
p,0,0,0,1,181,176,6,10
t,0,1,0,1,243,229,13,1
f,0,0,1,1,229,239,8,4
f,0,0,1,1,248,203,19,1
p,0,0,0,1,251,167,8,10
b,1,0,0,1,112,269,9,8
t,0,1,0,1,206,226,6,7
s,0,1,1,1,214,317,16,1
s,0,1,1,1,217,338,3,5
d,1,1,0,1,82,302,16,10
b,1,0,0,1,148,277,9,9
z,1,1,1,1,177,320,12,6
v,1,0,1,1,183,311,12,8
z,1,1,1,1,164,204,17,10
b,1,0,0,1,148,222,8,4
z,1,1,1,1,171,354,12,8
p,0,0,0,1,142,210,4,2
d,1,1,0,1,116,299,9,10
b,1,0,0,1,226,279,20,5
v,1,0,1,1,143,324,5,8
p,0,0,0,1,119,148,11,4
f,0,0,1,1,264,252,8,6
d,1,1,0,1,114,252,18,7
t,0,1,0,1,142,195,19,3
f,0,0,1,1,316,194,15,8
t,0,1,0,1,113,194,1,2
p,0,0,0,1,125,165,5,6
z,1,1,1,1,175,309,10,10
z,1,1,1,1,175,255,17,2
t,0,1,0,1,172,208,20,5
b,1,0,0,1,97,238,4,8
t,0,1,0,1,187,200,19,4
d,1,1,0,1,150,262,18,4
z,1,1,1,1,258,262,2,3
s,0,1,1,1,300,252,8,2
z,1,1,1,1,179,308,14,3
b,1,0,0,1,153,180,17,6
s,0,1,1,1,219,324,7,10
s,0,1,1,1,269,238,18,3
v,1,0,1,1,232,295,13,1
p,0,0,0,1,138,208,4,1
f,0,0,1,1,231,260,20,1
s,0,1,1,1,164,319,11,6
d,1,1,0,1,109,306,7,7
z,1,1,1,1,159,309,13,2
t,0,1,0,1,253,168,10,9
d,1,1,0,1,103,267,8,4
s,0,1,1,1,249,208,19,10
f,0,0,1,1,227,264,3,3
v,1,0,1,1,150,231,17,9
b,1,0,0,1,196,274,12,10
d,1,1,0,1,111,202,13,10
s,0,1,1,1,294,211,15,6
p,0,0,0,1,136,214,7,5
b,1,0,0,1,151,243,8,6
t,0,1,0,1,175,193,9,10
b,1,0,0,1,96,215,1,9
f,0,0,1,1,229,208,8,9
t,0,1,0,1,277,120,15,2
s,0,1,1,1,138,230,11,9
p,0,0,0,1,170,135,18,1
v,1,0,1,1,147,292,14,8
v,1,0,1,1,116,304,9,6
p,0,0,0,1,188,155,13,10
t,0,1,0,1,182,194,11,9
p,0,0,0,1,139,215,20,3
b,1,0,0,1,150,248,1,4
d,1,1,0,1,181,316,10,6
p,0,0,0,1,123,157,11,1
z,1,1,1,1,233,283,4,5
s,0,1,1,1,214,197,17,5
d,1,1,0,1,106,220,13,8
v,1,0,1,1,98,336,9,7
d,1,1,0,1,124,281,7,5
t,0,1,0,1,261,216,6,9
v,1,0,1,1,184,249,13,4
p,0,0,0,1,158,199,13,2
z,1,1,1,1,166,287,14,1
t,0,1,0,1,228,170,8,10
s,0,1,1,1,211,316,7,6
d,1,1,0,1,139,298,14,10
d,1,1,0,1,131,226,13,3
v,1,0,1,1,211,209,18,9
f,0,0,1,1,271,222,20,9
d,1,1,0,1,70,259,16,7
t,0,1,0,1,175,239,7,1
v,1,0,1,1,113,283,9,2
t,0,1,0,1,177,195,18,7
v,1,0,1,1,224,324,4,1
s,0,1,1,1,218,207,13,9
z,1,1,1,1,209,255,15,2
f,0,0,1,1,231,226,4,10
f,0,0,1,1,181,261,11,1
f,0,0,1,1,299,162,15,3
v,1,0,1,1,65,335,7,1
d,1,1,0,1,169,242,15,8
v,1,0,1,1,125,391,20,10
p,0,0,0,1,178,194,3,7
s,0,1,1,1,237,309,10,3
v,1,0,1,1,71,372,7,5
z,1,1,1,1,197,271,9,5
t,0,1,0,1,209,215,3,5
z,1,1,1,1,190,227,1,9
s,0,1,1,1,263,238,13,2
t,0,1,0,1,169,195,7,3
z,1,1,1,1,196,347,12,10
b,1,0,0,1,181,224,19,4
v,1,0,1,1,120,363,14,6
t,0,1,0,1,195,219,16,7
f,0,0,1,1,223,180,18,1
f,0,0,1,1,191,269,11,3
d,1,1,0,1,108,286,6,2
s,0,1,1,1,250,259,2,5
t,0,1,0,1,133,186,1,1
b,1,0,0,1,86,250,1,7
d,1,1,0,1,214,254,11,4
z,1,1,1,1,173,308,13,1
d,1,1,0,1,245,268,3,2
d,1,1,0,1,104,300,3,8
f,0,0,1,1,244,252,10,2
p,0,0,0,1,175,160,3,2
d,1,1,0,1,96,202,18,9
z,1,1,1,1,211,308,16,4
f,0,0,1,1,227,252,20,2
p,0,0,0,1,139,163,11,3
p,0,0,0,1,233,176,8,4
v,1,0,1,1,182,181,17,8
d,1,1,0,1,168,293,12,4
s,0,1,1,1,404,224,20,6
z,1,1,1,1,170,309,7,6
p,0,0,0,1,169,158,12,8
z,1,1,1,1,198,335,7,4
p,0,0,0,1,169,127,8,8
v,1,0,1,1,180,262,11,3
p,0,0,0,1,140,231,7,1
v,1,0,1,1,139,285,5,3
t,0,1,0,1,185,125,15,10
t,0,1,0,1,221,149,1,5
v,1,0,1,1,175,313,1,5
v,1,0,1,1,196,231,13,3
t,0,1,0,1,222,151,15,3
s,0,1,1,1,226,247,5,9
d,1,1,0,1,76,281,4,5
v,1,0,1,1,107,297,5,4
d,1,1,0,1,133,279,14,5
v,1,0,1,1,161,364,12,9
f,0,0,1,1,306,165,15,4
z,1,1,1,1,187,357,8,5
t,0,1,0,1,232,269,3,7
p,0,0,0,1,183,179,3,9
b,1,0,0,1,176,287,14,7
s,0,1,1,1,313,226,20,10
f,0,0,1,1,264,155,15,6
s,0,1,1,1,277,227,2,2
s,0,1,1,1,228,199,17,2
p,0,0,0,1,154,179,2,4
p,0,0,0,1,164,175,2,5
z,1,1,1,1,185,275,11,9
b,1,0,0,1,200,226,2,3
d,1,1,0,1,137,263,11,7
p,0,0,0,1,189,156,8,2
s,0,1,1,1,218,290,16,5
f,0,0,1,1,188,183,9,6
z,1,1,1,1,209,317,4,2
b,1,0,0,1,206,368,10,5
z,1,1,1,1,257,290,3,2
f,0,0,1,1,187,214,5,4
p,0,0,0,1,269,126,15,6
b,1,0,0,1,179,257,20,10
z,1,1,1,1,214,271,18,10
p,0,0,0,1,268,188,10,3
p,0,0,0,1,206,188,3,3
d,1,1,0,1,108,253,4,3
z,1,1,1,1,124,254,9,2
d,1,1,0,1,222,284,20,7
b,1,0,0,1,110,221,19,6
t,0,1,0,1,224,247,7,8
s,0,1,1,1,324,174,15,3
v,1,0,1,1,167,347,6,6
d,1,1,0,1,128,266,10,4
p,0,0,0,1,201,173,6,8
f,0,0,1,1,276,254,3,7
d,1,1,0,1,117,194,17,2
v,1,0,1,1,233,334,3,7
s,0,1,1,1,212,206,9,4
b,1,0,0,1,243,295,10,10
b,1,0,0,1,131,232,6,5
t,0,1,0,1,261,124,15,7
d,1,1,0,1,126,308,8,1
b,1,0,0,1,208,221,8,10
f,0,0,1,1,221,182,1,8
z,1,1,1,1,245,262,19,4
p,0,0,0,1,269,208,10,2
z,1,1,1,1,134,317,12,7
f,0,0,1,1,211,238,5,1
t,0,1,0,1,205,182,15,6
b,1,0,0,1,82,295,3,10
d,1,1,0,1,158,292,11,5
v,1,0,1,1,159,249,19,8
t,0,1,0,1,121,187,1,4
z,1,1,1,1,248,211,2,7
f,0,0,1,1,259,164,1,5
v,1,0,1,1,161,347,8,5
t,0,1,0,1,205,148,17,10
f,0,0,1,1,274,207,10,3
b,1,0,0,1,211,295,10,8
d,1,1,0,1,69,296,5,2
v,1,0,1,1,134,254,17,6
b,1,0,0,1,201,249,10,4
p,0,0,0,1,230,152,2,7
f,0,0,1,1,142,252,5,8
d,1,1,0,1,53,246,4,4
v,1,0,1,1,195,309,10,10
v,1,0,1,1,163,254,13,8
s,0,1,1,1,267,178,6,1
t,0,1,0,1,205,174,8,1
d,1,1,0,1,80,219,2,8
s,0,1,1,1,236,239,6,4
d,1,1,0,1,92,237,2,6
v,1,0,1,1,165,241,13,7
p,0,0,0,1,187,162,7,3
d,1,1,0,1,171,267,14,8
p,0,0,0,1,221,154,5,4
z,1,1,1,1,129,293,19,9
z,1,1,1,1,133,328,5,10
f,0,0,1,1,226,247,12,10
b,1,0,0,1,121,220,1,8
b,1,0,0,1,100,138,4,4
b,1,0,0,1,181,218,20,4
v,1,0,1,1,154,248,6,5
f,0,0,1,1,204,302,7,7
f,0,0,1,1,207,188,13,8
f,0,0,1,1,209,216,4,2
t,0,1,0,1,159,214,20,7
s,0,1,1,1,306,269,20,7
b,1,0,0,1,150,220,6,3
z,1,1,1,1,248,254,4,6
d,1,1,0,1,115,227,18,8
z,1,1,1,1,191,353,8,3
f,0,0,1,1,236,261,20,3
d,1,1,0,1,171,234,2,2
z,1,1,1,1,214,306,18,7
t,0,1,0,1,221,167,6,4
t,0,1,0,1,269,175,18,9
z,1,1,1,1,174,367,20,6
d,1,1,0,1,115,266,5,4
t,0,1,0,1,236,225,3,4
s,0,1,1,1,237,190,1,8
d,1,1,0,1,94,309,9,5
v,1,0,1,1,143,312,5,5
p,0,0,0,1,200,144,5,10
p,0,0,0,1,178,197,5,8
b,1,0,0,1,164,276,12,6
b,1,0,0,1,233,255,5,2
p,0,0,0,1,151,216,5,7
f,0,0,1,1,213,223,6,5
p,0,0,0,1,198,190,18,8
t,0,1,0,1,194,202,8,4
b,1,0,0,1,113,243,2,10
s,0,1,1,1,225,204,19,5
v,1,0,1,1,105,281,16,2
s,0,1,1,1,214,315,7,3
v,1,0,1,1,241,268,11,5
b,1,0,0,1,227,238,12,2
s,0,1,1,1,173,331,16,9
t,0,1,0,1,229,187,2,9
p,0,0,0,1,144,201,8,6
s,0,1,1,1,224,271,7,4
f,0,0,1,1,225,248,4,6
s,0,1,1,1,229,195,17,8
p,0,0,0,1,192,162,1,5
t,0,1,0,1,121,195,9,7
f,0,0,1,1,199,227,18,3
z,1,1,1,1,184,378,15,3
v,1,0,1,1,117,293,18,5
d,1,1,0,1,174,281,8,10
v,1,0,1,1,155,222,17,5
f,0,0,1,1,255,220,2,10
f,0,0,1,1,169,269,5,6
z,1,1,1,1,180,375,8,10
d,1,1,0,1,145,282,12,8
f,0,0,1,1,215,255,14,3
t,0,1,0,1,220,203,3,2
t,0,1,0,1,210,181,2,8
s,0,1,1,1,187,239,5,8
f,0,0,1,1,218,243,12,3
b,1,0,0,1,127,246,1,6
d,1,1,0,1,114,188,17,9
z,1,1,1,1,207,292,6,7
p,0,0,0,1,170,208,3,6
v,1,0,1,1,225,369,10,4
v,1,0,1,1,190,292,15,1
s,0,1,1,1,371,205,15,9
p,0,0,0,1,162,178,13,3
b,1,0,0,1,75,231,2,4
p,0,0,0,1,202,174,5,5
s,0,1,1,1,239,201,13,6
d,1,1,0,1,123,341,3,5
f,0,0,1,1,172,243,7,5
d,1,1,0,1,129,252,7,3
d,1,1,0,1,96,211,1,2
t,0,1,0,1,159,169,9,3
b,1,0,0,1,133,302,7,8
d,1,1,0,1,122,257,19,6
d,1,1,0,1,145,195,6,4
b,1,0,0,1,167,184,17,10
z,1,1,1,1,154,246,6,8
b,1,0,0,1,108,214,1,1
s,0,1,1,1,217,206,19,3
z,1,1,1,1,186,223,17,7
d,1,1,0,1,104,364,10,1
f,0,0,1,1,261,217,2,4
f,0,0,1,1,214,251,14,4
b,1,0,0,1,126,229,9,3
s,0,1,1,1,258,360,3,3
d,1,1,0,1,61,258,5,10
p,0,0,0,1,200,173,12,1
z,1,1,1,1,190,318,7,10
s,0,1,1,1,227,342,7,5
p,0,0,0,1,165,187,3,4
s,0,1,1,1,205,259,4,8
d,1,1,0,1,83,255,9,2
f,0,0,1,1,288,207,10,9
v,1,0,1,1,148,290,4,2
v,1,0,1,1,152,318,9,9
d,1,1,0,1,103,274,7,10
t,0,1,0,1,241,164,2,6
z,1,1,1,1,164,253,12,3
f,0,0,1,1,268,234,8,7
z,1,1,1,1,176,310,15,4
s,0,1,1,1,161,259,11,2
f,0,0,1,1,318,247,3,2
s,0,1,1,1,263,171,13,8
